path,step,S
6,80,120.811
6,81,120.111
6,82,122.93
6,83,121.448
6,84,121.647
6,85,122.508
6,86,120.863
6,87,121.624
6,88,124.205
6,89,124.003
6,90,124.36
6,91,123.405
6,92,122.561
6,93,124.001
6,94,123.921
6,95,122.411
6,96,122.88
6,97,121.638
6,98,125.007
6,99,120.097
6,100,120.471
7,0,100
7,1,99.0709
7,2,97.6597
7,3,96.3186
7,4,95.6215
7,5,96.795
7,6,94.9042
7,7,94.834
7,8,93.4
7,9,92.4162
7,10,92.3224
7,11,91.8158
7,12,90.1661
7,13,90.4377
7,14,89.5985
7,15,88.4407
7,16,86.4751
7,17,86.8074
7,18,88.042
7,19,86.6499
7,20,85.4244
7,21,84.8707
7,22,84.8793
7,23,84.7854
7,24,83.9763
7,25,85.3635
7,26,86.695
7,27,88.6624
7,28,90.4026
7,29,90.1949
7,30,90.4531
7,31,88.9016
7,32,87.959
7,33,87.7038
7,34,86.5353
7,35,88.4467
7,36,86.9918
7,37,84.019
7,38,85.8668
7,39,85.5319
7,40,85.8497
7,41,86.2239
7,42,86.4867
7,43,85.6279
7,44,83.9349
7,45,82.9845
7,46,85.3288
7,47,86.0123
7,48,85.1442
7,49,85.9928
7,50,88.9516
7,51,92.5641
7,52,93.433
7,53,92.7244
7,54,93.301
7,55,93.5597
7,56,93.8521
7,57,95.9465
7,58,95.0104
7,59,95.8004
7,60,94.5875
7,61,93.556
7,62,93.3051
7,63,94.5286
7,64,92.7434
7,65,93.0646
7,66,93.4235
7,67,91.5268
7,68,91.3321
7,69,92.4157
7,70,92.2334
7,71,93.1608
7,72,92.0256
7,73,89.9677
7,74,90.361
7,75,91.7695
7,76,92.814
7,77,94.2286
7,78,96.6298
7,79,95.0697
7,80,95.2687
7,81,94.5879
7,82,95.9577
7,83,93.241
7,84,93.4816
7,85,89.1302
7,86,87.2417
7,87,88.3383
7,88,89.3752
7,89,89.7428
7,90,89.8591
7,91,88.0855
7,92,86.2408
7,93,86.2729
7,94,88.2042
7,95,87.1288
7,96,86.8137
7,97,87.4056
7,98,86.888
7,99,87.0075
7,100,85.4142
8,0,100
8,1,96.324
8,2,95.6305
8,3,95.5697
8,4,93.8284
8,5,95.0482
8,6,94.5119
8,7,94.1106
8,8,93.4521
8,9,93.6252
8,10,92.3447
8,11,91.946
8,12,92.8901
8,13,91.3632
8,14,91.4776
8,15,94.472
8,16,93.5318
8,17,94.4898
8,18,93.2429
8,19,98.207
8,20,98.918
8,21,97.8936
8,22,96.2115
8,23,97.2337
8,24,97.597
8,25,96.3435
8,26,95.1516
8,27,93.4444
8,28,92.5933
8,29,90.7756
8,30,91.0958
8,31,91.0772
8,32,90.531
8,33,90.5389
8,34,90.8156
8,35,92.2458
8,36,94.2324
8,37,95.2556
8,38,94.4664
8,39,97.0792
8,40,96.1923
8,41,96.7612
8,42,98.6971
8,43,101.365
8,44,104.313
8,45,103.977
8,46,102.846
8,47,99.6952
8,48,100.455
8,49,102.342
8,50,101.569
8,51,100.658
8,52,98.5265
8,53,99.451
8,54,96.3512
8,55,96.6515
8,56,98.8266
8,57,99.1614
8,58,97.4141
8,59,98.1308
8,60,98.169
8,61,97.5769
8,62,97.7294
8,63,94.9074
8,64,94.275
8,65,95.3348
8,66,94.6146
8,67,92.1899
8,68,93.2991
8,69,92.9948
8,70,94.197
8,71,92.6503
8,72,94.8266
8,73,93.9451
8,74,94.0557
8,75,94.8726
8,76,95.119
8,77,93.1983
8,78,94.97
8,79,94.9841
8,80,96.715
8,81,94.3261
8,82,91.7949
8,83,93.9501
8,84,93.601
8,85,93.6918
8,86,95.4527
8,87,94.603
8,88,94.9601
8,89,94.897
8,90,94.1358
8,91,94.1412
8,92,93.6098
8,93,96.1546
8,94,96.4492
8,95,91.9658
8,96,94.4615
8,97,96.0071
8,98,94.4953
8,99,95.6735
8,100,97.1377
9,0,100
9,1,100.252
9,2,98.3014
9,3,97.2662
9,4,100.282
9,5,100.731
9,6,100.122
9,7,100.281
9,8,101.49
9,9,101.154
9,10,99.9402
9,11,97.1414
9,12,99.1618
9,13,99.4262
9,14,98.779
9,15,97.8638
9,16,96.8333
9,17,96.8084
9,18,96.1463
9,19,96.6569
9,20,95.9299
9,21,97.5255
9,22,98.3506
9,23,95.9837
9,24,96.3987
9,25,97.7532
9,26,98.439
9,27,97.2104
9,28,99.7251
9,29,97.6827
9,30,95.686
9,31,92.2051
9,32,92.1117
9,33,92.2766
9,34,94.2855
9,35,95.2114
9,36,92.8771
9,37,92.4689
9,38,91.2596
9,39,90.1516
9,40,90.4843
9,41,90.1058
9,42,91.1377
9,43,89.4929
9,44,88.4618
9,45,89.021
9,46,88.1048
9,47,88.1542
9,48,87.2083
9,49,88.2888
9,50,87.2328
9,51,85.6995
9,52,84.4624
9,53,83.715
9,54,84.3826
9,55,83.9029
9,56,85.1995
9,57,87.5179
9,58,89.0849
9,59,87.2482
9,60,88.3249
9,61,88.9867
9,62,86.3074
9,63,85.1054
9,64,86.7559
9,65,86.7086
9,66,88.3139
9,67,86.7819
9,68,86.7548
9,69,88.5867
9,70,89.6594
9,71,89.1806
9,72,88.6628
9,73,87.6735
9,74,85.3633
9,75,84.1704
9,76,82.8125
9,77,82.8283
9,78,83.1849
9,79,84.2383
9,80,83.1062
9,81,82.1488
9,82,81.545
9,83,80.8622
9,84,81.5502
9,85,79.5265
9,86,78.096
9,87,77.1143
9,88,79.2513
9,89,78.8241
9,90,77.4066
9,91,77.2912
9,92,75.949
9,93,76.1944
9,94,75.1347
9,95,72.9365
9,96,73.022
9,97,71.6518
9,98,72.1242
9,99,71.6586
9,100,70.4609
10,0,100
10,1,98.8473
10,2,101.151
10,3,98.5985
10,4,97.8996
10,5,96.7842
10,6,97.4271
10,7,98.1099
10,8,99.6252
10,9,102.367
10,10,102.202
10,11,101.262
10,12,99.6308
10,13,98.4673
10,14,98.58
10,15,97.5476
10,16,96.1465
10,17,93.2101
10,18,93.6329
10,19,92.6676
10,20,93.8255
10,21,94.8663
10,22,94.9836
10,23,94.8195
10,24,99.2442
10,25,98.9804
10,26,98.9291
10,27,100.799
10,28,99.9325
10,29,98.891
10,30,98.8858
10,31,99.2902
10,32,101.193
10,33,100.205
10,34,100.554
10,35,99.891
10,36,99.3837
10,37,99.0243
10,38,100.66
10,39,101.446
10,40,100.026
10,41,101.198
10,42,99.7746
10,43,97.304
10,44,95.4911
10,45,94.83
10,46,95.0359
10,47,96.9347
10,48,97.1268
10,49,94.7937
10,50,94.4584
10,51,94.3177
10,52,94.8865
10,53,93.5475
10,54,93.1247
10,55,93.7334
10,56,92.7395
10,57,93.8985
10,58,93.2533
10,59,95.0011
10,60,97.152
10,61,96.528
10,62,97.7419
10,63,97.6403
10,64,96.3365
10,65,97.9319
10,66,96.1575
10,67,94.5549
10,68,92.8345
10,69,93.0111
10,70,92.5175
10,71,91.7357
10,72,91.9059
10,73,89.4986
10,74,89.6893
10,75,87.8
10,76,89.293
10,77,88.1066
10,78,87.9258
10,79,88.0799
10,80,86.3521
10,81,86.1978
10,82,86.2301
10,83,85.073
10,84,85.0618
10,85,83.9636
10,86,84.6311
10,87,83.9333
10,88,85.1404
10,89,82.6891
10,90,84.0012
10,91,85.9638
10,92,86.1267
10,93,87.1045
10,94,88.4059
10,95,90.2416
10,96,90.836
10,97,91.0861
10,98,92.5121
10,99,91.5609
10,100,92.0858
11,0,100
11,1,99.1548
11,2,101.326
11,3,104.513
11,4,105.305
11,5,104.781
11,6,109.213
11,7,111.177
11,8,113.195
11,9,113.471
11,10,114.797
11,11,115.083
11,12,115.166
11,13,115.265
11,14,116.477
11,15,114.49
11,16,115.355
11,17,114.388
11,18,114.592
11,19,114.711
11,20,113.213
11,21,114.316
11,22,117.011
11,23,118.102
11,24,118.671
11,25,118.568
11,26,115.471
11,27,114.969
11,28,115.245
11,29,116.414
11,30,117.019
11,31,119.247
11,32,123.993
11,33,123.931
11,34,118.044
11,35,118.77
11,36,118.035
11,37,116.904
11,38,115.129
11,39,116.78
11,40,115.783
11,41,116.794
11,42,113.952
11,43,113.462
11,44,116.237
11,45,116.018
11,46,116.041
11,47,116.951
11,48,117.168
11,49,119.285
11,50,116.876
11,51,115.321
11,52,116.952
11,53,115.189
11,54,118.985
11,55,119.07
11,56,117.579
11,57,117.884
11,58,117.285
11,59,118.013
11,60,114.989
11,61,112.002
11,62,110.963
11,63,111.689
11,64,108.787
11,65,108.318
11,66,106.805
11,67,107.972
11,68,107.882
11,69,108.769
11,70,111.613
11,71,111.55
11,72,110.181
11,73,111.159
11,74,109.239
11,75,108.865
11,76,112.433
11,77,110.68
11,78,110.77
11,79,108.738
11,80,107.419
11,81,109.849
11,82,109.988
11,83,112.204
11,84,113.508
11,85,114.107
11,86,117.468
11,87,114.696
11,88,114.318
11,89,112.773
11,90,114.222
11,91,113.838
11,92,116.462
11,93,117.707
11,94,115.461
11,95,116.798
11,96,121.039
11,97,121.644
11,98,118.764
11,99,119.787
11,100,122.38
12,0,100
12,1,100.213
12,2,99.3
12,3,98.7929
12,4,97.9774
12,5,100.515
12,6,101.916
12,7,101.651
12,8,101.998
12,9,103.503
12,10,102.309
12,11,102.643
12,12,100.076
12,13,100.14
12,14,100.884
12,15,101.696
12,16,102.847
12,17,101.239
12,18,100.984
12,19,102.05
12,20,102.766
12,21,101.976
12,22,101.731
12,23,103.265
12,24,103.678
12,25,104.413
12,26,103.849
12,27,104.34
12,28,103.878
12,29,104.659
12,30,104.526
12,31,105.774
12,32,107.291
12,33,108.533
12,34,108.358
12,35,108.158
12,36,110.741
12,37,113.082
12,38,110.924
12,39,114.866
12,40,113.033
12,41,114.148
12,42,112.501
12,43,112.866
12,44,112.961
12,45,114.411
12,46,111.941
12,47,113.081
12,48,113.701
12,49,118.857
12,50,118.877
12,51,119.745
12,52,119.51
12,53,119.018
12,54,121.326
12,55,121.01
12,56,119.045
12,57,121.675
12,58,117.67
12,59,118.268
12,60,117.305
12,61,115.489
12,62,112.943
12,63,113.161
12,64,110.718
12,65,110.459
12,66,109.483
12,67,107.947
12,68,109.344
12,69,107.049
12,70,106.06
12,71,106.707
12,72,106.382
12,73,107.196
12,74,106.89
12,75,106.834
12,76,107.288
12,77,107.987
12,78,107.793
12,79,111.254
12,80,110.04
12,81,109.442
12,82,108.581
12,83,106.968
12,84,105.258
12,85,104.351
12,86,101.849
12,87,102.454
12,88,102.95
12,89,103.113
12,90,100.74
12,91,102.779
12,92,104.37
12,93,106.767
12,94,106.092
12,95,107.09
12,96,107.871
12,97,107.212
12,98,108.056
12,99,108.753
12,100,109.6
13,0,100
13,1,99.1615
13,2,102.851
13,3,102.484
13,4,99.8729
13,5,99.3106
13,6,99.1935
13,7,99.0095
13,8,98.7238
13,9,102.611
13,10,104.15
13,11,105.834
13,12,106.104
13,13,105.386
13,14,108.03
13,15,108.708
13,16,108.951
13,17,110.09
13,18,112.853
13,19,111.426
13,20,110.892
13,21,112.853
13,22,113.243
13,23,113.751
13,24,113.243
13,25,114.243
13,26,115.579
13,27,115.21
13,28,117.276
13,29,115.685
13,30,113.763
13,31,114.172
13,32,117.142
13,33,115.182
13,34,118.068
13,35,115.164
13,36,114.851
13,37,114.745
13,38,115.655
13,39,115.182
13,40,113.852
13,41,113.453
13,42,111.776
13,43,113.887
13,44,114.561
13,45,114.198
13,46,116.573
13,47,116.797
13,48,117.323
13,49,118.198
13,50,122.361
13,51,120.321
13,52,117.812
13,53,117.133
13,54,116.641
13,55,115.403
13,56,117.276
13,57,114.61
13,58,116.758
13,59,116.875
13,60,118.046
13,61,114.98
13,62,116.302
13,63,116.414
13,64,116.297
13,65,117.759
13,66,118.407
13,67,116.352
13,68,116.368
13,69,118.763
13,70,118.611
13,71,118.506
13,72,118.64
13,73,118.26
13,74,118.755
13,75,115.507
13,76,114.494
13,77,113.487
13,78,114.653
13,79,117.399
13,80,118.564
13,81,118.905
13,82,115.46
13,83,112.899
13,84,112.288
13,85,111.769
13,86,108.667
13,87,111.305
13,88,114.769
13,89,110.863
13,90,108.181
13,91,108.675
13,92,112.794
13,93,110.847
13,94,112.475
13,95,110.08
13,96,109.051
13,97,110.508
13,98,114.05
13,99,115.172
13,100,111.603
14,0,100
14,1,98.9456
14,2,97.6071
14,3,98.023
14,4,98.0573
14,5,96.3517
14,6,96.997
14,7,98.3043
14,8,98.787
14,9,99.3594
14,10,99.3107
14,11,99.595
14,12,98.8795
14,13,98.5167
14,14,95.7442
14,15,94.6669
14,16,94.6646
14,17,93.2893
14,18,93.6262
14,19,93.365
14,20,95.7033
14,21,95.3294
14,22,94.2683
14,23,94.8397
14,24,96.6822
14,25,99.1364
14,26,96.7761
14,27,96.5015
14,28,97.1509
14,29,97.2947
14,30,97.6795
14,31,96.3323
14,32,96.6524
14,33,98.0889
14,34,100.696
14,35,100.486
14,36,99.255
14,37,99.6649
14,38,99.0923
14,39,98.073
14,40,97.9983
14,41,95.7693
14,42,96.0755
14,43,96.3754
14,44,94.9203
